file_hash,windows_executable_count,BEH_osmodify,BEH_coinstealer,BEH_mining,BEH_proxy,BEH_filecrypt,BEH_selfpropagate,BEH_autorun,BEH_clicks,BEH_filemodify,BEH_toolbar,BEH_ddos,BEH_killsectool,BEH_browsermodify,BEH_spam,BEH_jswebinject,BEH_bitcoinmining,BEH_infosteal,BEH_alertuser,BEH_keylogging,BEH_execdownload,BEH_killproc,BEH_dials,BEH_gamethief,BEH_servstart,BEH_server,BEH_inject,BEH_irc,FILE_installer,FILE_shellcode,FILE_proglang:autoit,FILE_packed:enigma,FILE_proglang:delphi,FILE_small,FILE_packed:themida,FILE_exploit,FILE_proglang:powershell,FILE_corrupted,FILE_proglang:python,FILE_proglang:visualbasic,FILE_msil,FILE_packed:vmprotect,FILE_bundle,FILE_packed,multiclass_label
008a644a8a580fc5d45f5bbdc36c851f,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CLASS_grayware
008dd879932214df7234387379ad8e1a,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,CLASS_grayware
0092a67184709485164ec951110e3e08,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_grayware
00967d1ede928bd7e3b14cdc9fe968ce,17,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_worm
0096bc30d9a6d1cbbf84c8cbc911b2f4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_downloader
009e086d4a799015bee276b8ecf6d568,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_grayware
00b0b312b95f1d3efac107fec0b69ed2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLASS_downloader
00b7c536d9e6a076c326f293d53bb81d,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,CLASS_downloader
00b9dcd116c7d0b5b0a7e82cbc378775,16,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,CLASS_grayware
00b9f5861f53212825b150b16cde164c,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,CLASS_backdoor
